belongs_to_collection;budget;first_genre;other_genres;original_language;overview;popularity;company;country;release_date;revenue;runtime;spoken_languages;tagline;title;vote_average;votecount;keywords
;13200000;Comedy;Drama Romance ;hi;Raj is a rich  carefree  happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh  who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fianc‚. Raj leaves for India with a mission at his hands  to claim his lady love under the noses of her whole family. Thus begins a saga.;9.563;Yash Raj Films;India;1995-10-20;100000000;190;hi;Come Fall In love  All Over Again..;Dilwale Dulhania Le Jayenge;9.2;1905;
;25000000;Drama;Crime ;en;Framed in the 1940s for the double murder of his wife and her lover  upstanding banker Andy Dufresne begins a new life at the Shawshank prison  where he puts his accounting skills to work for an amoral warden. During his long stretch in prison  Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.;23.638;Castle Rock Entertainment;United States of America;1994-09-23;28341469;142;en;Fear can hold you prisoner. Hope can set you free.;The Shawshank Redemption;8.6;11422;prison corruption police brutality prison cell delinquent parole board escape from prison wrongful imprisonment framed for murder 1940s 
The Godfather Collection;6000000;Drama;Crime ;en;Spanning the years 1945 to 1955  a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch  Vito Corleone barely survives an attempt on his life  his youngest son  Michael steps in to take care of the would-be killers  launching a campaign of bloody revenge.;19.101;Paramount;United States of America;1972-03-14;245066411;175;en;An offer you cant refuse.;The Godfather;8.6;8725;italy loss of loved one love at first sight italian american europe patriarch organized crime mafia lawyer crime family rise to power mob boss 1940s 1950s 
;0;Romance;Animation Drama ;ja;High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night  they suddenly switch places. Mitsuha wakes up in Taki?s body  and he in hers. This bizarre occurrence continues to happen randomly  and the two must adjust their lives around each other.;16.775;CoMix Wave Films;Japan;2016-08-26;355398372;106;ja;;Your Name.;8.6;3157;japan supernatural afterlife romance school body-swap star crossed lovers anime 
;22000000;Drama;History War ;en;The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.;20.805;Universal Pictures;United States of America;1993-12-15;321365567;195;de;Whoever saves one life  saves the world entire.;Schindlers List;8.5;6757;based on novel or book factory concentration camp hero holocaust world war ii ghetto jew persecution krakow auschwitz industrialist jew nazi defense industry biography based on a true story train poland ss weapons manufacturer 
The Godfather Collection;13000000;Drama;Crime ;en;In the continuing saga of the Corleone crime family  a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s  Michael Corleone attempts to expand the family business into Las Vegas  Hollywood and Cuba.;12.578;Paramount;United States of America;1974-12-20;102600000;200;en;I dont feel I have to wipe everybody out  Tom. Just my enemies.;The Godfather: Part II;8.5;5072;italy italian american cuba melancholy praise revenge mafia lawyer blood suburb corrupt politician bloody body of child man punches woman 
;19000000;Animation;Family Fantasy ;ja;A young girl  Chihiro  becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation  she must call upon the courage she never knew she had to free her family.;17.66;Studio Ghibli;Japan;2001-07-20;274925095;125;ja;;Spirited Away;8.5;6258;witch parent child relationship magic darkness bath house ghost world parallel world amusement park youkai japanese mythology anime spirits 
;20000000;Comedy;Drama ;it;A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.;15.867;Melampo Cinematografica;Italy;1997-12-20;229400000;116;cs;An unforgettable fable that proves love  family and imagination conquer all.;Life Is Beautiful;8.4;6131;italy riddle loss of loved one bookshop self sacrifice mass murder concentration camp fascism world war ii love of ones life deportation jew persecution fantasy nazi national socialism charade riding a bicycle story teller concentration camp prisoner dying and death 
;60000000;Fantasy;Drama Crime ;en;A supernatural tale set on death row in a Southern prison  where gentle giant John Coffey possesses the mysterious power to heal peoples ailments. When the cell blocks head guard  Paul Edgecomb  recognizes Coffeys miraculous gift  he tries desperately to help stave off the condemned mans execution.;15.452;Castle Rock Entertainment;United States of America;1999-12-10;284600000;189;fr;Miracles do happen.;The Green Mile;8.4;6855;southern usa mentally disabled based on novel or book death row jail guard great depression supernatural prison guard jail electric chair magic realism healing 1930s 
;8000000;Thriller;Crime ;en;A burger-loving hit man  his philosophical partner  a drug-addled gangsters moll and a washed-up boxer converge in this sprawling  comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.;21.562;Miramax;United States of America;1994-09-10;213928762;154;en;Just because you are a character doesnt mean you have character.;Pulp Fiction;8.4;13093;transporter drug dealer boxer massage stolen money crime boss dance competition junkyard kamikaze briefcase redemption heirloom los angeles theft violence cult film nonlinear timeline accidental killing 
The Dark Knight Collection;185000000;Drama;Action Crime Thriller ;en;Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent  Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective  but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.;25.602;DC Entertainment;United Kingdom;2008-07-16;1004558444;152;en;Why So Serious?;The Dark Knight;8.4;16728;dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based on comic tragic hero organized crime criminal mastermind district attorney super power imax super villain 
;63000000;Drama;;en;A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on  with underground fight clubs forming in every town  until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.;21.879;Regency Enterprises;Germany;1999-10-15;100853753;139;en;Mischief. Mayhem. Soap.;Fight Club;8.4;14237;support group dual identity nihilism fight rage and hate insomnia dystopia alter ego violence cult film split personality quitting a job dissociative identity disorder 
